,fmax,copy_rate,copy_avg_time,copy_min_time,copy_max_time,scale_rate,scale_avg_time,scale_min_time,scale_max_time,add_rate,add_avg_time,add_min_time,add_max_time,triad_rate,triad_avg_time,triad_min_time,triad_max_time,pciw_rate,pciw_avg_time,pciw_min_time,pciw_max_time,pcir_rate,pcir_avg_time,pcir_min_time,pcir_max_time
18-0-1_ni,372.16,31992.3,0.025015,0.025006,0.025025,32020.6,0.02499,0.024984,0.024997,48009.4,0.025003,0.024995,0.025012,48005.8,0.025003,0.024997,0.025007,6303.9,0.190423,0.190359,0.190566,3771.6,0.318213,0.318168,0.318284
18-1-1_ni,328.125,31767.5,0.025188,0.025183,0.025196,31777.7,0.025177,0.025175,0.025181,47672.0,0.025174,0.025172,0.025177,47559.0,0.025236,0.025232,0.025246,6316.0,0.190029,0.189994,0.19006,5728.0,0.209528,0.209497,0.209626
17-1-2*_aria-10,341.06,26767.5,0.029892,0.029887,0.029901,27112.3,0.029562,0.029507,0.029594,28839.9,0.041659,0.041609,0.041704,28848.8,0.041656,0.041596,0.041725,6419.2,0.187463,0.18694,0.187959,6356.5,0.192998,0.188783,0.196114
19-2_ni,378.64,35187.9,0.022747,0.022735,0.022761,35172.7,0.022754,0.022745,0.022769,52800.6,0.022739,0.022727,0.022749,52763.5,0.022753,0.022743,0.022765,6321.3,0.189897,0.189834,0.189961,6405.2,0.18737,0.187347,0.187391
19-3_pac-stratix10,244.37,31109.0,0.025743,0.025716,0.025781,31144.2,0.025715,0.025687,0.025756,46705.4,0.025717,0.025693,0.025775,46696.3,0.02572,0.025698,0.025758,8863.4,0.135605,0.135388,0.13598,7491.7,0.160535,0.160178,0.160861
18-1-1,242.18,30875.9,0.025914,0.02591,0.025919,30885.6,0.025905,0.025902,0.025911,46289.2,0.025928,0.025924,0.025935,45613.4,0.02631,0.026308,0.026312,6324.0,0.1898,0.189753,0.189862,5587.3,0.214869,0.214773,0.214943
19-3_pac-stratix10_ni,313.28,29244.1,0.027398,0.027356,0.027434,28044.5,0.028559,0.028526,0.028595,42087.5,0.028547,0.028512,0.028603,41905.0,0.028712,0.028636,0.028804,8678.2,0.155757,0.138277,0.183577,7365.4,0.179162,0.162925,0.210698
19-1,255.68,32597.4,0.024545,0.024542,0.024548,32602.8,0.024539,0.024538,0.024541,48572.8,0.024708,0.024705,0.024711,47423.6,0.025308,0.025304,0.025313,6330.3,0.189646,0.189563,0.189759,6315.9,0.190041,0.189998,0.190126
19-3,265.81,33953.0,0.023564,0.023562,0.023567,33958.5,0.02356,0.023558,0.023562,49403.4,0.024293,0.02429,0.024296,48575.2,0.024707,0.024704,0.024709,6319.5,0.189961,0.189889,0.190036,6293.0,0.190761,0.190688,0.190918
19-2,269.68,34349.6,0.023293,0.02329,0.023298,34358.1,0.023286,0.023284,0.023288,50335.7,0.023842,0.02384,0.023843,48650.3,0.024668,0.024666,0.024671,6310.6,0.190267,0.190155,0.190397,6306.2,0.190343,0.190289,0.190388
19-1_ni,342.93,32642.4,0.024513,0.024508,0.024525,32659.9,0.024499,0.024495,0.024501,48979.8,0.024502,0.0245,0.024504,48973.6,0.024504,0.024503,0.024506,6318.7,0.18996,0.189912,0.190026,6413.0,0.187184,0.187119,0.187271
18-0-1,276.77,35130.7,0.022776,0.022772,0.022782,35138.5,0.022771,0.022767,0.022776,52705.5,0.022772,0.022768,0.022777,48802.2,0.024593,0.024589,0.024598,6303.5,0.19046,0.190369,0.190521,3673.8,0.326716,0.326636,0.326799
16-0-2_harp,252.9,15416.1,0.051917,0.051894,0.051965,15674.0,0.051056,0.05104,0.051066,20816.4,0.057661,0.057647,0.057676,20543.0,0.058422,0.058414,0.058438,74017129.4,3.1e-05,1.6e-05,4.5e-05,75121862.7,2.8e-05,1.6e-05,4.1e-05
17-1-2*_aria-10_ni,342.93,15553.6,0.051469,0.051435,0.051553,32581.2,0.024617,0.024554,0.024661,23444.7,0.051247,0.051184,0.05128,23370.0,0.051414,0.051348,0.051455,6415.0,0.187305,0.18706,0.187613,6478.7,0.189044,0.185221,0.193868
19-3_ni,307.78,33555.4,0.023847,0.023841,0.023855,33581.3,0.023836,0.023823,0.023844,50362.9,0.023838,0.023827,0.023845,50333.7,0.023842,0.023841,0.023844,6307.8,0.190291,0.190242,0.190335,6405.3,0.187365,0.187346,0.187387
